name;price;display_size;display_tech;back_cam;front_cam;CPU;RAM;storage_cap;battery;resolution;screen_func;os;refresh_rate;GPU;waterproof;max_charging
oppo reno15;0.0;6.59 inches;AMOLED;Chính 50MP f/1.8 (OIS) + Telephoto 50MP f/2.8 (OIS) + Góc siêu rộng 8MP f/2.2;50MP f/2.0;Qualcomm Snapdragon 7 Gen4 5G;12 GB;256 GB;6500 mAh;1256 x 2760 pixels;Cảm ứng 240Hz, 100% DCI-P3, 10-bit (1.07 tỷ màu), Độ sáng tối đa 1200 nits;ColorOS 16.0;120;Adreno 722;IP66, IP68, IP69;80 W
samsung galaxy s25 ultra;28990000.0;6.9 inches;Dynamic AMOLED 2X;"Camera siêu rộng 50MPCamera góc rộng 200 MPCamera Tele (5x) 50MPCamera Tele (3x) 10MP""";12 MP;Snapdragon 8 Elite dành cho Galaxy (3nm);12 GB;256 GB;5000 mAh;3120 x 1440 pixels (Quad HD+);120Hz2600 nitsCorning® Gorilla® Armor 2;Android 15;120 Hz;Adreno 830;IP68;45 W
xiaomi 14t pro;12990000.0;6.67 inches;AMOLED;Máy ảnh chính: 50MP, 23mm, ƒ/1 6  Máy ảnh góc siêu rộng: 12MP, 15mm, ƒ/2 2 Máy ảnh tele: 50MP, 60mm, ƒ/2 0;32MPƒ/2,0 Độ dài tiêu cự tương đương 25 mm  FOV 80,8˚Chế độ ban đêmHDRTính năng chụp ảnh bằng lòng bàn tay;MediaTek Dimensity 9300+;12 GB;512 GB;5000 mAh;1220 x 2712 pixels;144Hz, 446 ppi, 4000 nitsĐộ sâu màu 12 bitLàm mờ PWM lên đến 3840HDR10+, Dolby Vision®Mặt sau cong 3D;;;;;
iphone 16 pro max;31390000.0;6.9 inches;Super Retina XDR OLED;Camera chính: 48MP, f/1.78, 24mm, 2µm, chống rung quang học dịch chuyển cảm biến thế hệ thứ hai, Focus Pixels 100%Telephoto 2x 12MP: 52 mm, ƒ/1.6 Camera góc siêu rộng: 48MP, 13 mm,ƒ/2.2 và trường ảnh 120°, Hybrid Focus Pixels, ảnh có độ phân giải;12MP, ƒ/1.9, Tự động lấy nét theo pha Focus Pixels;Apple A18 Pro;8 GB;256 GB;33 giờ;2868 x 1320 pixels;Dynamic IslandMàn hình Luôn Bật Công nghệ ProMotion với tốc độ làm mới thích ứng lên đến 120Hz Màn hình HDR True Tone Dải màu rộng (P3) Haptic Touch Tỷ lệ tương phản 2.000.000:1;iOS 18;;Apple GPU 6 nhân;IP68;20 W
iphone 17e;0.0;6.1 inches;Super Retina XDR;48MP, ƒ/1.6Telephoto 2x: 12MP, ƒ/1.6;12MP, ƒ/1.9;Apple A19;Đang cập nhật;256 GB;Xem video: 26 giờXem video trực tuyến: 21 giờ;2532 x 1170 pixels;HDR460 ppiTrue ToneDải màu rộng (P3)Haptic TouchTỷ lệ tương phản 2.000.000:1Độ sáng 800 nit (tiêu chuẩn)Độ sáng đỉnh: 1200 nit (HDR);iOS 26;60;Apple GPU 4 nhân;IP68;20 W
samsung galaxy a17;5890000.0;6.7 inches;Super AMOLED;Chính 50 MPPhụ 5 MP, 2 MP;13 MP;Exynos 1330;8 GB;128 GB;Li-Ion 5000 mAh;1080 x 2340 pixels (FullHD+);Độ sáng tối đa 800 nitsKính cường lực Corning Gorilla Glass 7;Android 15;90 Hz;Adreno 830;IP54;25 W
nubia neo 3 gt;6690000.0;6.8 inches;OLED;50MP + 2MP;16MP;Unisoc T9100;12 GB;256 GB;6000mAh;1080 x 2392 pixels;FullHD+Tần số 120HzĐộ sáng cực đại 1300 nitGam màu DCI-P3 100%Tỷ lệ tương phản 1000000:1Tần số lấy mẫu cảm ứng tức thời 1200Hz;Android 15;;;;
oppo find x8;19490000.0;6.59 inches;AMOLED;50MP OIS (Chính) + 50MP (Chân dung Tele) + 50MP (Góc rộng);32MP, khẩu độ F/2.4;MediaTek Dimensity 9400;16 GB;512 GB;5630 mAh;1256 x 2760 pixels;Tần số quét: 120Hz, Kính cường lực GG 7i  Độ sáng tối đa: 1600 nits  Màu sắc hiển thị: 1 tỷ màu;ColorOS 15, nền tảng Android 15;;ARM Immortalis G925 MC12;IP68 & IP69;80 W
iphone 16e;12490000.0;6.1 inches;Super Retina XDR;Hệ thống camera 2 trong 1Fusion 48MP: 26 mm, khẩu độ ƒ/1.6, chống rung quang học, Hybrid Focus Pixels, ảnh có độ phân giải siêu cao (24MP và 48MP)Đồng thời hỗ trợ Telephoto 2x 12MP: 52 mm, khẩu độ ƒ/1.6, chống rung quang học, Hybrid Focus Pixels;Camera 12MP Khẩu độ ƒ/1.9 Camera TrueDepth hỗ trợ nhận diện khuôn mặt;Chip A18;Đang cập nhật;128 GB;Thời gian xem video Lên đến 26 giờ Thời gian xem video (trực tuyến) Lên đến 21 giờThời gian nghe nhạc Lên đến 90 giờ;2532 x 1170 pixels;Màn hình HDR True Tone Dải màu rộng (P3) Haptic Touch Tỷ lệ tương phản 2.000.000:1 (tiêu chuẩn) Độ sáng tối đa 800 nit (tiêu chuẩn);;;;;
xiaomi redmi note 15;5690000.0;6.77 inches;AMOLED;Camera chính 108MP ƒ/1.7 + Camera phụ 2MP ƒ/2.4;20MP ƒ/2.2;MediaTek Helio G100-Ultra;6 GB;128 GB;6000 mAh;1080 x 2392 pixels;Độ sáng tối đa 3200 nits, 12-bit, DCI-P3, PWM 3840Hz, TÜV Rheinland giảm ánh sáng xanh, TÜV Rheinland thân thiện nhịp sinh học, TÜV Rheinland Flicker Free;Xiaomi HyperOS 2;120;Adreno 710;IP64;33 W
