name,Antutu_Score
sony xperia 10 5,586609
infinix hot 50,586229
infinix hot 50 proplus,585490
tecno spark 20 proplus,585344
motorola moto g 2026,585233
oneplus nord ce 3,583395
tecno spark 20,582427
xiaomi redmi note 11,582398
tecno spark 40,582331
motorola moto g power,581679
xiaomi redmi note 14s,581553
xiaomi redmi note 13,581315
xiaomi poco m6,579518
infinix note 50,579515
tecno pova 7 neo,579396
samsung galaxy f70e,577065
vivo y19,577028
vivo y39,577028
tecno camon 30s,576539
samsung galaxy a16,576249
infinix note 40,576099
infinix note 40 proplus,575082
tecno spark 30,574792
tecno camon 40,572388
samsung galaxy f17,571738
honor x7c,571597
xiaomi redmi note 14,571260
itel rs4,571132
xiaomi poco x5,571027
honor 400,570603
tecno pova 7,570469
xiaomi poco m4,569913
realme 14t,569901
tecno camon 50,569394
vivo v40,569252
google pixel 3 xl,568672
honor magic 5,568391
tecno pova 6 neo,568329
xiaomi poco m5,568193
tecno camon 20,567824
xiaomi poco x6 neo,567662
nokia xr21,567090
tecno pova 6,567008
xiaomi mi 10,566786
infinix hot 40,566559
google pixel 5,566323
realme 9,566021
google pixel 3,564887
google pixel 4a,564247
motorola moto g72,562829
infinix hot 50,562039
vivo y200,561575
xiaomi redmi note 14,561488
motorola moto g62,561482
motorola moto g45,561385
xiaomi redmi 12,560863
infinix hot 50,560612
oneplus nord n30,560348
xiaomi poco m7,558941
realme 9,558331
realme 10,557994
motorola moto g64,557820
xiaomi redmi note 11e,557756
oneplus nord n20,557161
infinix zero 30,557120
xiaomi redmi note 15,556782
xiaomi redmi 15c,556765
nokia g60,556161
xiaomi redmi note 13,556031
xiaomi redmi note 12r,555822
xiaomi poco m5s,554599
tecno pova 5,554245
motorola moto g73,553717
tecno pova 6,552385
honor 200,552130
motorola moto g power 2026,551891
motorola moto g play 2026,551891
huawei p40,551097
infinix note 12,550994
tecno camon 50,550656
infinix note 50,550645
realme narzo 100,550626
motorola moto g87,550018
realme 15t,550018
realme 12,548498
motorola moto g34,547750
nokia x30,546498
infinix note 30,546074
xiaomi redmi 13,545449
infinix note 30,545404
tecno spark 30,542331
realme 8,541222
infinix note 40,541181
motorola one ace,540590
tecno pova 4,540584
samsung galaxy s9,540311
realme 13,540213
realme 15x,540005
realme 8,536149
realme 6,535398
oppo reno 8t,534715
samsung galaxy a07,533945
xiaomi poco m3,533942
samsung galaxy a17,533694
vivo y29,533575
xiaomi redmi note 12,532863
honor 90 smart,532792
samsung galaxy a16,532530
xiaomi poco m6,532506
oppo a6,531619
xiaomi redmi note 12,530828
xiaomi redmi note 10s,530335
samsung galaxy a24,528070
realme 12x,527928
honor 90,527185
realme c85,527116
motorola moto g,526717
xiaomi mi 11,526647
vivo v27e,526251
samsung galaxy m23,525163
honor x8d,522680
realme c85,522460
samsung galaxy a15,522075
motorola moto g,521686
xiaomi redmi note 10,521521
tcl 50,521281
samsung galaxy xcover 7,518777
xiaomi redmi 13c,517265
tecno pova 4,517013
samsung galaxy a06,515958
samsung galaxy a14,515647
samsung galaxy a51,515094
xiaomi redmi note 9,514398
samsung galaxy m16,514353
xiaomi poco x3,513435
nokia g42,513089
xiaomi redmi note 9s,510584
xiaomi redmi note 10,509440
samsung galaxy a52,509095
samsung galaxy a15,507542
xiaomi poco m6,507519
xiaomi redmi 14c,506757
xiaomi mi note 10,506661
realme 11,506601
realme 13,505115
motorola moto g37 power,505018
infinix zero 40,504555
realme 6,502895
vivo iqoo z10,501473
oneplus nord n30,501084
realme 8i,500517
motorola moto g,499266
oneplus nord n10,499040
xiaomi mi 9t,498034
google pixel 4a,495785
nokia xr20,495104
samsung galaxy a22,494363
samsung galaxy s8,493993
xiaomi redmi note 12s,493222
honor 10,492523
xiaomi redmi a4,491371
samsung galaxy a72,490745
xiaomi redmi note 8,490622
tecno camon 19,488283
xiaomi poco m4,486348
motorola moto g,484869
xiaomi poco c85x,484788
xiaomi redmi note 11s,484747
samsung galaxy a71,484163
honor x7c,483206
realme c100,478510
motorola moto g53,477542
samsung galaxy m15,477416
xiaomi redmi note 12,468628
xiaomi redmi note 11,463453
xiaomi redmi note 13,461236
xiaomi poco m7,460680
realme c85,460559
huawei p20,460393
samsung galaxy note 8,460222
oneplus nord n200,456551
tecno pova slim,455458
nokia g310,453516
samsung galaxy a32,452426
honor x8c,449880
vivo y200,448509
samsung galaxy a52,448186
samsung galaxy s8,447464
xiaomi redmi note 10,447401
motorola moto g50,446878
itel s25,443956
samsung galaxy a42,436298
xiaomi mi 9,434173
oppo reno 12 f,431840
motorola moto g32,430185
oppo a96,430045
xiaomi redmi note 11,424370
motorola moto g play,423234
honor x7d,420631
realme c67,419458
samsung galaxy s7,418077
xiaomi mi 9,417439
huawei nova y91,416629
honor x7,416177
xiaomi redmi 10c,415355
samsung galaxy m51,414283
realme 9,413508
huawei nova 13i,412912
samsung galaxy a05s,410766
honor x8,407835
motorola moto g52,402894
xiaomi poco c81,401382
samsung galaxy a70,399285
xiaomi redmi 15,396286
honor x8b,396111
motorola moto g14,388158
realme 9i,385682
honor x7b,385342
realme p3,383402
infinix smart 10,383402
tecno spark go 2,383402
tecno pop 9,383402
samsung galaxy a23,383162
motorola moto g05,381428
xiaomi poco c85,378978
samsung galaxy s7 edge,370918
realme c75,370885
xiaomi poco c65,367941
xiaomi redmi 12,365994
samsung galaxy a13,364707
vivo y18,364688
tecno spark go 3,363747
infinix hot 40,363684
motorola moto g13,363239
xiaomi redmi 12c,362896
xiaomi redmi 10,362198
tecno spark 10,362185
tecno pova 2,362076
xiaomi redmi 15c,361928
xiaomi redmi a5,361487
realme c65,359738
xiaomi redmi 13c,359250
motorola moto g06 power,358608
xiaomi redmi 14c,358383
infinix hot 60i,357879
xiaomi redmi 10,357149
tecno spark 40c,356117
samsung galaxy m21,355351
tecno spark 30c,354460
tecno spark 30,354158
motorola moto g06,353291
samsung galaxy a50,352871
tecno spark go 1,351752
xiaomi poco c81x,350705
motorola moto g17 power,349240
tecno spark 20,349064
xiaomi redmi note 7,347995
infinix smart 10,347293
tecno camon 20,346842
xiaomi redmi 9,346788
xiaomi redmi note 9,346495
realme note 70,346223
realme c35,345058
xiaomi poco c75,344773
realme c71,343932
huawei nova y72,343622
samsung galaxy a05,343045
realme c51,342790
motorola moto g stylus,342782
samsung galaxy a14,341488
xiaomi redmi 13,341126
xiaomi redmi a7,341105
realme note 50,341088
infinix hot 50i,340407
itel p65,340049
samsung galaxy a06,340009
tecno spark go,339966
honor x8a,339004
realme c100,338053
honor 8x,337060
huawei p30,336905
tecno pova 3,336634
motorola moto g23,336576
infinix hot 30i,336429
motorola moto g17,335081
samsung galaxy m07,335081
tecno spark 10c,334300
realme c30,334150
infinix hot 40i,333647
infinix hot 30,331642
infinix smart 8,330006
realme c53,329014
xiaomi poco m6,328854
infinix note 30i,328451
tecno spark 40,328194
samsung galaxy a51,327798
infinix smart 9,327026
xiaomi poco c81,326769
realme c55,326768
samsung galaxy m31,326489
motorola moto g24,325370
honor 10,324696
tecno pova neo 3,323764
xiaomi redmi note 8t,323556
honor 9x,323221
tecno spark 8c,322580
xiaomi poco c71,322517
honor x5d,322427
google pixel 3a,322015
realme note 60,321986
xiaomi poco m3,320666
realme c33,320180
nokia g22,319154
honor x5d,318543
motorola moto g04,317518
samsung galaxy a22,316974
xiaomi redmi 9t,314356
xiaomi redmi note 8,313923
tecno pop 8,307423
tecno camon 19,306873
tcl 50,304588
nokia g21,299307
motorola moto g31,294541
samsung galaxy a03,291706
honor x6c,290520
samsung galaxy a31,290447
honor x6b,285019
samsung galaxy a32,283832
xiaomi redmi note 5,282713
samsung galaxy m32,280002
samsung galaxy a41,277609
samsung galaxy a20e,277187
nokia g11,270819
samsung galaxy a8 2018,268800
motorola moto g7,257242
samsung galaxy m12,255386
xiaomi redmi 7,243691
samsung galaxy a30s,243409
samsung galaxy a30,241600
motorola moto g30,238865
samsung galaxy a04s,234339
samsung galaxy a21s,231817
motorola moto g power,230853
samsung galaxy a13,222612
nokia c32,213752
motorola moto g play,211638
samsung galaxy m13,208638
samsung galaxy a40,208315
motorola g pure,207434
samsung galaxy a20,205752
xiaomi redmi 10a,204115
tcl 501,203105
xiaomi redmi 9c,200794
motorola moto g22,199612
samsung galaxy a04e,199111
samsung galaxy a10,197260
nokia g20,196219
tecno spark 10,195561
tecno spark 20c,195539
honor x7a,194025
samsung galaxy a03s,193935
xiaomi redmi 8,193105
oppo a54,191639
xiaomi poco c61,187715
samsung galaxy a01,186283
samsung galaxy a12,182076
infinix smart 8,181979
infinix hot 30 play,179682
samsung galaxy a04,179480
tcl 505,177574
samsung galaxy a11,176306
samsung galaxy a02,176264
honor 8a,174582
samsung galaxy a20s,173104
samsung galaxy a02s,166636
xiaomi redmi a2,166119
xiaomi redmi a3,164708
xiaomi redmi 9a,163723
xiaomi redmi 7a,154698
samsung galaxy a03 core,153667
samsung galaxy a10s,144287
